label,study_and_condition
__label__0,study interventions are Deoxyuridine . small intestine lymphoma diagnosis and creatinine normal or creatinine clearance greater_than equal_than sixty ml min
__label__0,study interventions are Immunosuppressive Agents . history of bleeding disorder that would make hematoma likely hemophilia von_willebrand disease or on anti coagulation therapy certain cases may be allowed each case will be assessed by study doctor
__label__1,study interventions are Docetaxel . hertwo positive breast cancer diagnosis and pregnant or lactating females
__label__0,study interventions are Everolimus . patients must have histologically or cytologically confirmed neuroendocrine tumours either of carcinoid histology or carcinoma of pancreatic islet cell origin small cell variant endocrine organ carcinomas and adrenal gland malignancies including paragangliomas are excluded from this study
__label__1,study interventions are Methylprednisolone acetate . myeloma diagnosis and patients who have had chemotherapy or radiotherapy within four weeks prior to entering the study or those who have not recovered from adverse events due to agents administered more than four weeks earlier
__label__0,study interventions are Isophosphamide mustard . childhood fibrosarcoma diagnosis and life expectancy greater_than three months
__label__1,study interventions are Fludarabine phosphate . noncontiguous stage ii grade two follicular lymphoma diagnosis and bone marrow bm donors
__label__0,study interventions are Fluorouracil . histologically proven squamous cell carcinoma of the esophagus include cardiac cancer
__label__1,study interventions are Vaccines . stage ivb uterine corpus cancer diagnosis and lack of availability of patient for immunological and clinical follow up assessment
__label__0,study interventions are gamma-secretase/Notch signalling pathway inhibitor RO4929097 . stage iv melanoma diagnosis and aspartate aminotransferase ast or alanine aminotransferase alt equal_than less_than doc iuln
__label__0,study interventions are Vidarabine . noncontiguous stage ii mantle cell lymphoma diagnosis and acute myeloid leukemia aml
__label__0,study interventions are Beclomethasone . noncontiguous stage ii grade three follicular lymphoma diagnosis and exclusion
__label__0,study interventions are Antibodies . stage iii grade one follicular lymphoma diagnosis and patients may not have received prior murine compounds due to risk of hama formation
__label__1,study interventions are Mycophenolic Acid . recurrent adult diffuse large cell lymphoma diagnosis and central nervous system cns involvement with disease refractory to intrathecal chemotherapy
__label__1,study interventions are Single-port access surgery . colorectal cancer diagnosis and patients not capable of informed consent and or quality of life assessment
__label__1,study interventions are Retinol acetate . contiguous stage ii adult lymphoblastic lymphoma diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition to at one hundred and one or other agents used in study
__label__0,study interventions are Vaccines . stage iv pancreatic cancer diagnosis and at least four weeks since prior immunotherapy and recovered
__label__1,study interventions are Trastuzumab . cancer diagnosis and for cohort only
__label__1,study interventions are Pembrolizumab . grade one follicular lymphoma diagnosis and note
__label__1,study interventions are Bevacizumab . stage iiia rectal cancer diagnosis and inflammatory breast disease
__label__1,"study interventions are Antibodies, Monoclonal . stage iiib ovarian cancer diagnosis and concurrent use of enzyme inducing anti epileptic drugs eiaed patients may be on non enzyme inducing anti epileptic drugs or not be taking any anti epileptic drugs patients previously treated with eiaed may be enrolled if they have been off the eiaed for ten days or more prior to the first dose of mlnone hundred and twenty-eight"
__label__1,study interventions are Niacinamide . hepatocellular carcinoma diagnosis and pregnancy
__label__0,study interventions are Everolimus . stage iiic ovarian cancer diagnosis and adequate coagulation function as defined by either of the following criteria
__label__1,study interventions are Fludarabine phosphate . stage marginal zone lymphoma diagnosis and human immunodeficiency virus hiv positive patients
__label__0,study interventions are Olaparib . recurrent primary peritoneal carcinoma diagnosis and platinum resistant is defined as relapse within six months of last platinum based chemotherapy or progression while on platinum based therapy
__label__1,study interventions are Gemcitabine . solid neoplasm diagnosis and initiation or adjustment of antihypertensive medication is allowed prior to screening
__label__0,study interventions are Paclitaxel . ovarian cancer diagnosis and neurologic function
__label__0,study interventions are Sorafenib . stage ii renal cell cancer diagnosis and patients must have an absolute baseline left ventricular ejection fraction lvef of greater_than equal_than fifty by multigated acquisition muga scan within four weeks prior to randomization
__label__0,study interventions are Cisplatin . colorectal cancer diagnosis and prior treatment with sorafenib is not allowed
